tender_id,client,category,estimated_value_omr,competitor_count,margin_percent,icv_score,omanization_percent,won
OM-HIST-20087,PDO,Medical Supplies,54417,13,5.59,54.03,67.42,1
OM-HIST-20088,PDO,Construction,5859377,6,27.6,52.67,91.97,1
OM-HIST-20089,Nama Group,Medical Supplies,20000,14,23.1,21.03,44.26,0
OM-HIST-20090,Ministry of Health,Oil & Gas Infrastructure,83554,8,15.08,43.96,56.28,1
OM-HIST-20091,PDO,Electrical Substation,347139,4,34.42,36.71,88.95,0
OM-HIST-20092,OQ,Oil & Gas Infrastructure,98580,3,24.28,16.78,60.01,1
OM-HIST-20093,PDO,Electrical Substation,2299451,7,11.35,26.34,79.48,1
OM-HIST-20094,Nama Group,Electrical Substation,286629,6,30.05,33.52,78.69,1
OM-HIST-20095,Nama Group,Construction,20000,5,24.5,49.06,72.36,0
OM-HIST-20096,OQ,IT Services,113995,5,30.18,41.07,45.51,1
OM-HIST-20097,PDO,Oil & Gas Infrastructure,20000,11,33.43,33.25,46.66,0
OM-HIST-20098,PDO,Medical Supplies,20000,11,33.91,45.92,80.56,0
OM-HIST-20099,Nama Group,Construction,84114,3,22.36,56.44,67.43,0
OM-HIST-20100,OQ,Electrical Substation,177684,8,33.24,19.92,68.49,0
OM-HIST-20101,Ministry of Transport,IT Services,37336,3,25.92,25.08,74.48,0
OM-HIST-20102,PDO,Medical Supplies,120128,14,6.23,36.64,73.0,1
OM-HIST-20103,Nama Group,Construction,192967,2,30.49,51.12,36.86,0
OM-HIST-20104,OQ,Electrical Substation,64685,13,9.59,18.81,63.91,0
OM-HIST-20105,Nama Group,Medical Supplies,129614,14,32.59,48.73,60.22,0
OM-HIST-20106,Royal Oman Police,Medical Supplies,78460,6,14.67,22.27,90.75,1
OM-HIST-20107,OQ,Electrical Substation,67235,5,27.51,38.49,73.43,0
OM-HIST-20108,PDO,Electrical Substation,678755,15,14.75,34.38,53.06,1
OM-HIST-20109,Ministry of Transport,Construction,550891,11,26.04,23.81,30.66,0
OM-HIST-20110,PDO,Oil & Gas Infrastructure,372355,5,26.6,34.43,79.28,0
OM-HIST-20111,Ministry of Transport,Electrical Substation,157731,9,28.79,14.65,44.4,0
OM-HIST-20112,OQ,Construction,59646,12,22.45,33.66,64.51,0
OM-HIST-20113,Royal Oman Police,Medical Supplies,117415,7,15.55,32.69,49.93,1
OM-HIST-20114,Ministry of Health,IT Services,88267,7,8.59,36.79,79.54,1
OM-HIST-20115,Royal Oman Police,IT Services,1153392,13,19.53,46.23,93.48,0
OM-HIST-20116,OQ,Construction,113682,3,29.98,24.81,53.46,1
OM-HIST-20117,PDO,Medical Supplies,264672,4,13.23,58.71,65.97,1
OM-HIST-20118,Royal Oman Police,IT Services,2866139,12,31.05,34.54,86.73,0
OM-HIST-20119,OQ,Electrical Substation,35989,9,18.21,19.22,33.34,0
OM-HIST-20120,Nama Group,Electrical Substation,517113,3,29.66,30.04,34.82,0
OM-HIST-20121,Ministry of Health,Oil & Gas Infrastructure,159792,4,9.48,38.14,49.75,0
OM-HIST-20122,PDO,Oil & Gas Infrastructure,20000,10,27.93,40.32,81.4,1
OM-HIST-20123,Ministry of Transport,Medical Supplies,47181,8,18.52,32.14,85.91,0
OM-HIST-20124,PDO,Construction,408710,11,23.63,40.48,78.11,0
OM-HIST-20125,PDO,IT Services,235025,12,11.33,43.02,40.21,1
OM-HIST-20126,PDO,Oil & Gas Infrastructure,376496,4,5.08,32.53,68.6,1
OM-HIST-20127,PDO,IT Services,20000,6,26.21,45.15,59.51,0
OM-HIST-20128,Ministry of Transport,Construction,60093,14,28.74,39.49,82.25,1
OM-HIST-20129,PDO,Oil & Gas Infrastructure,259460,10,11.74,17.45,47.27,1
OM-HIST-20130,OQ,Oil & Gas Infrastructure,103415,4,28.78,39.75,83.58,0
OM-HIST-20131,OQ,Electrical Substation,264098,3,19.06,25.2,56.16,1
OM-HIST-20132,Ministry of Health,Medical Supplies,340792,9,18.13,39.9,87.81,0
OM-HIST-20133,OQ,Medical Supplies,458270,6,5.78,21.45,73.83,0
OM-HIST-20134,PDO,Medical Supplies,180679,2,34.99,43.61,47.52,1
OM-HIST-20135,Royal Oman Police,IT Services,188436,9,20.57,32.11,48.08,0
OM-HIST-20136,Royal Oman Police,Electrical Substation,4943785,12,29.43,58.45,60.55,0
OM-HIST-20137,Nama Group,Construction,4113454,12,8.14,18.04,56.76,1
OM-HIST-20138,Nama Group,Electrical Substation,137805,15,27.81,11.83,35.72,0
OM-HIST-20139,Nama Group,Oil & Gas Infrastructure,46185,14,17.13,35.73,94.23,0
OM-HIST-20140,OQ,Medical Supplies,765971,9,17.4,19.38,53.52,0
OM-HIST-20141,PDO,Electrical Substation,271748,14,6.55,23.35,38.52,1
OM-HIST-20142,OQ,Electrical Substation,383471,3,5.87,41.5,81.96,1
OM-HIST-20143,PDO,Construction,22463,10,5.41,30.4,44.61,0
OM-HIST-20144,Royal Oman Police,Oil & Gas Infrastructure,145740,9,33.41,42.39,40.01,0
OM-HIST-20145,Ministry of Transport,Construction,20000,10,26.16,30.77,61.36,0
OM-HIST-20146,Royal Oman Police,Electrical Substation,246090,10,9.34,19.53,68.96,0
OM-HIST-20147,OQ,IT Services,20000,15,7.09,48.63,85.54,1
OM-HIST-20148,PDO,Medical Supplies,240165,6,29.62,24.14,49.41,0
OM-HIST-20149,Royal Oman Police,Electrical Substation,164039,15,9.46,36.93,52.43,1
OM-HIST-20150,Ministry of Health,Medical Supplies,101769,8,18.66,26.09,42.26,0
OM-HIST-20151,PDO,Medical Supplies,194939,8,12.01,48.78,32.84,1
OM-HIST-20152,PDO,Electrical Substation,798643,8,34.65,49.62,72.38,1
OM-HIST-20153,OQ,Oil & Gas Infrastructure,267927,4,20.07,39.51,86.53,0
OM-HIST-20154,Nama Group,Electrical Substation,193356,3,20.78,32.85,76.96,1
OM-HIST-20155,Ministry of Transport,IT Services,3580889,3,19.08,58.46,52.01,1
OM-HIST-20156,Ministry of Transport,Oil & Gas Infrastructure,35221,15,14.86,43.72,64.69,0
OM-HIST-20157,PDO,Electrical Substation,428507,15,21.23,40.87,45.26,1
OM-HIST-20158,Ministry of Health,Construction,84925,5,27.4,31.7,36.4,0
OM-HIST-20159,PDO,Oil & Gas Infrastructure,796224,9,9.99,24.97,31.88,1
OM-HIST-20160,OQ,Oil & Gas Infrastructure,614826,6,15.75,31.53,45.87,1
OM-HIST-20161,OQ,IT Services,1549643,4,10.25,40.47,54.87,1
OM-HIST-20162,OQ,Electrical Substation,709503,11,9.29,33.06,46.51,1
OM-HIST-20163,Royal Oman Police,Oil & Gas Infrastructure,20000,14,18.96,24.38,65.53,1
OM-HIST-20164,OQ,Construction,161248,11,13.97,58.1,74.87,1
OM-HIST-20165,OQ,Construction,23001,5,34.98,52.67,36.93,1
OM-HIST-20166,PDO,Construction,31198,11,13.88,44.96,31.43,0
OM-HIST-20167,OQ,Electrical Substation,148150,6,5.24,53.25,80.59,1
OM-HIST-20168,Nama Group,Medical Supplies,83280,13,19.9,55.21,48.6,0
OM-HIST-20169,PDO,Medical Supplies,73468,14,15.57,41.83,70.36,0
OM-HIST-20170,PDO,IT Services,20000,12,7.91,41.37,32.56,1
OM-HIST-20171,OQ,Oil & Gas Infrastructure,3100542,11,15.95,16.57,89.13,0
OM-HIST-20172,PDO,Electrical Substation,352174,4,11.02,49.33,86.97,1
OM-HIST-20173,PDO,Medical Supplies,137517,6,29.91,22.85,83.6,0
OM-HIST-20174,Ministry of Transport,Construction,53926,13,31.11,50.21,60.44,0
OM-HIST-20175,PDO,IT Services,107734,15,25.29,43.72,55.83,0
OM-HIST-20176,Nama Group,Medical Supplies,63590,7,7.71,29.73,47.19,1
OM-HIST-20177,Ministry of Health,Construction,386480,12,27.47,23.11,54.77,0
OM-HIST-20178,Nama Group,Construction,37857,3,25.25,33.57,70.27,0
OM-HIST-20179,OQ,Construction,20000,11,11.64,13.16,83.55,0
OM-HIST-20180,PDO,Construction,122963,12,17.25,16.99,91.51,0
OM-HIST-20181,OQ,Electrical Substation,61706,3,7.92,54.36,38.82,1
OM-HIST-20182,PDO,Medical Supplies,225784,8,22.62,46.33,87.55,1
OM-HIST-20183,Nama Group,Electrical Substation,160820,11,17.24,57.58,32.13,1
OM-HIST-20184,PDO,Electrical Substation,5731535,9,33.52,52.77,36.46,0
OM-HIST-20185,Ministry of Health,Medical Supplies,34342,12,15.76,29.91,42.34,0
OM-HIST-20186,PDO,Electrical Substation,1320601,3,24.88,42.09,68.81,1
OM-HIST-20187,Nama Group,Construction,20000,5,34.66,49.35,43.34,0
OM-HIST-20188,PDO,Medical Supplies,81865,5,22.59,50.65,45.14,0
OM-HIST-20189,PDO,Medical Supplies,66930,2,13.32,59.2,94.19,1
OM-HIST-20190,PDO,IT Services,20000,3,24.83,11.29,30.97,0
OM-HIST-20191,Royal Oman Police,IT Services,113729,11,14.71,18.71,33.41,0
OM-HIST-20192,Royal Oman Police,Medical Supplies,232346,3,27.37,33.81,80.57,0
OM-HIST-20193,PDO,Oil & Gas Infrastructure,345026,9,20.12,57.27,32.82,0
OM-HIST-20194,Royal Oman Police,Medical Supplies,3488494,6,18.74,58.2,33.95,1
OM-HIST-20195,PDO,Electrical Substation,60238,8,25.58,34.51,89.13,1
OM-HIST-20196,OQ,Oil & Gas Infrastructure,247616,7,23.25,13.28,47.88,0
OM-HIST-20197,PDO,Medical Supplies,240285,13,14.76,59.73,64.49,1
OM-HIST-20198,PDO,Medical Supplies,29474,8,7.98,45.09,85.43,1
OM-HIST-20199,OQ,Medical Supplies,61221,13,30.96,31.5,87.73,0
OM-HIST-20200,OQ,Electrical Substation,65976,8,17.48,14.75,57.74,0
OM-HIST-20201,Nama Group,Construction,360305,4,25.6,33.71,35.93,1
OM-HIST-20202,OQ,Electrical Substation,20000,3,27.34,28.63,38.46,1
OM-HIST-20203,Royal Oman Police,Medical Supplies,283996,10,14.89,16.11,52.98,0
OM-HIST-20204,Royal Oman Police,Electrical Substation,338427,15,32.48,12.57,48.7,0
OM-HIST-20205,Ministry of Transport,Oil & Gas Infrastructure,270061,11,20.22,17.74,61.34,0
OM-HIST-20206,PDO,Construction,100940,15,21.69,15.74,48.11,0
OM-HIST-20207,Ministry of Transport,Electrical Substation,251365,15,21.83,48.37,70.41,0
OM-HIST-20208,OQ,Medical Supplies,108520,2,23.27,42.89,75.08,1
OM-HIST-20209,Ministry of Transport,Construction,20000,13,27.87,56.08,52.82,0
OM-HIST-20210,OQ,IT Services,788107,11,24.72,13.48,78.16,0
OM-HIST-20211,Nama Group,Oil & Gas Infrastructure,265771,13,20.91,28.81,59.49,1
OM-HIST-20212,OQ,Construction,620708,13,14.73,57.07,68.75,0
OM-HIST-20213,Nama Group,IT Services,20000,4,27.63,12.49,35.3,0
OM-HIST-20214,PDO,Electrical Substation,349433,9,23.21,30.71,44.01,0
OM-HIST-20215,Nama Group,Construction,213800,8,8.33,43.91,68.55,1
OM-HIST-20216,PDO,Construction,31663,2,11.62,59.22,33.56,1
OM-HIST-20217,Ministry of Health,IT Services,181198,14,9.12,22.78,51.33,1
OM-HIST-20218,Ministry of Health,Electrical Substation,96636,4,8.88,36.63,44.96,1
OM-HIST-20219,Ministry of Transport,Construction,108574,3,16.91,47.1,58.35,1
OM-HIST-20220,Ministry of Health,Oil & Gas Infrastructure,85723,15,14.39,31.46,56.29,0
OM-HIST-20221,Ministry of Health,Construction,599834,3,17.15,58.31,41.17,0
OM-HIST-20222,Nama Group,Electrical Substation,20000,15,25.69,28.09,58.39,0
OM-HIST-20223,OQ,Electrical Substation,20000,11,17.01,13.93,86.58,0
OM-HIST-20224,OQ,IT Services,213372,7,28.37,13.82,71.16,0
OM-HIST-20225,Nama Group,IT Services,191777,14,15.48,46.37,83.23,0
OM-HIST-20226,Nama Group,IT Services,225323,3,9.39,19.86,69.16,1
OM-HIST-20227,PDO,Oil & Gas Infrastructure,2738817,4,33.54,41.4,60.16,0
OM-HIST-20228,OQ,Medical Supplies,214448,9,25.43,54.1,71.79,0
OM-HIST-20229,Royal Oman Police,Construction,36886,15,34.13,25.81,58.58,0
OM-HIST-20230,Royal Oman Police,Construction,7334036,14,13.24,12.81,62.98,1
OM-HIST-20231,OQ,Electrical Substation,128410,2,6.71,51.58,34.99,1
OM-HIST-20232,Ministry of Transport,Oil & Gas Infrastructure,584416,11,22.82,29.22,67.72,0
OM-HIST-20233,Royal Oman Police,Oil & Gas Infrastructure,23507,9,32.27,38.58,42.24,0
OM-HIST-20234,Ministry of Health,Medical Supplies,20000,4,33.73,32.53,82.71,0
OM-HIST-20235,OQ,Oil & Gas Infrastructure,112576,10,24.38,11.96,76.0,0
OM-HIST-20236,OQ,Medical Supplies,543975,10,23.29,28.19,89.67,0
OM-HIST-20237,OQ,Construction,2606279,12,22.94,49.46,72.07,1
OM-HIST-20238,PDO,Oil & Gas Infrastructure,35390,10,25.35,24.21,77.04,0
OM-HIST-20239,Royal Oman Police,Medical Supplies,108734,15,9.51,14.08,73.13,0
OM-HIST-20240,PDO,Construction,162925,12,25.95,29.6,68.68,0
OM-HIST-20241,Nama Group,Construction,166191,10,16.3,49.58,82.86,0
OM-HIST-20242,PDO,Medical Supplies,136999,3,24.38,31.17,53.52,1
OM-HIST-20243,PDO,IT Services,154951,5,15.25,48.31,42.48,0
OM-HIST-20244,Nama Group,IT Services,1306514,3,13.87,49.41,63.0,0
OM-HIST-20245,OQ,Medical Supplies,1055080,2,24.86,53.82,70.17,1
OM-HIST-20246,PDO,IT Services,251390,4,10.43,44.64,70.61,1
OM-HIST-20247,Royal Oman Police,Electrical Substation,20000,2,17.33,43.82,45.44,1
OM-HIST-20248,Nama Group,Construction,94576,14,27.46,32.45,64.71,0
OM-HIST-20249,PDO,Electrical Substation,662328,15,10.82,43.92,67.08,1
OM-HIST-20250,PDO,Construction,56573,14,16.46,36.37,92.81,0
OM-HIST-20251,Nama Group,Medical Supplies,74103,4,31.19,12.61,61.24,0
OM-HIST-20252,Nama Group,Oil & Gas Infrastructure,96180,13,30.38,52.56,48.53,0
OM-HIST-20253,PDO,Construction,472805,9,32.16,17.37,58.44,0
OM-HIST-20254,Ministry of Transport,IT Services,1923382,15,18.53,27.48,31.73,0
OM-HIST-20255,PDO,Medical Supplies,396191,7,12.07,59.73,54.37,1
OM-HIST-20256,PDO,Oil & Gas Infrastructure,20000,15,26.44,26.76,39.49,1
OM-HIST-20257,Ministry of Transport,Electrical Substation,74303,13,29.93,47.94,60.49,0
OM-HIST-20258,PDO,Oil & Gas Infrastructure,1171329,2,12.68,51.75,65.67,0
OM-HIST-20259,PDO,Medical Supplies,23845,8,8.34,24.41,49.57,1
OM-HIST-20260,Nama Group,Electrical Substation,20000,12,28.82,32.86,37.21,0
OM-HIST-20261,Royal Oman Police,Medical Supplies,71870,10,5.49,35.77,45.73,1
OM-HIST-20262,Ministry of Transport,Electrical Substation,699229,2,23.44,22.03,57.08,0
OM-HIST-20263,Ministry of Health,Oil & Gas Infrastructure,94332,10,34.24,13.38,64.19,0
OM-HIST-20264,PDO,Medical Supplies,4126166,10,5.61,53.67,32.83,1
OM-HIST-20265,PDO,Construction,210301,6,27.42,27.85,34.39,0
OM-HIST-20266,Royal Oman Police,Oil & Gas Infrastructure,23560,14,22.46,47.83,38.67,0
OM-HIST-20267,PDO,Construction,218331,15,24.28,51.52,74.5,0
OM-HIST-20268,PDO,Electrical Substation,3296464,12,10.47,16.74,76.54,0
OM-HIST-20269,Ministry of Transport,Oil & Gas Infrastructure,238958,6,11.05,49.56,87.58,1
OM-HIST-20270,Nama Group,Construction,36111,10,16.95,50.77,60.77,1
OM-HIST-20271,Royal Oman Police,IT Services,20000,6,15.71,49.04,86.28,1
OM-HIST-20272,Nama Group,Oil & Gas Infrastructure,96565,14,16.04,54.47,78.32,0
OM-HIST-20273,Nama Group,Electrical Substation,65037,7,34.21,34.81,62.34,0
OM-HIST-20274,PDO,Medical Supplies,1217083,6,29.03,46.35,35.13,0
OM-HIST-20275,PDO,IT Services,39179,10,13.81,15.13,51.31,0
OM-HIST-20276,Nama Group,Electrical Substation,187771,11,26.53,18.33,58.85,0
OM-HIST-20277,PDO,Construction,68633,11,34.94,23.73,93.7,0
OM-HIST-20278,OQ,Oil & Gas Infrastructure,20000,12,24.13,28.17,82.07,0
OM-HIST-20279,Ministry of Health,Oil & Gas Infrastructure,154433,4,30.46,43.9,58.48,1
OM-HIST-20280,Nama Group,IT Services,20000,14,24.35,28.11,91.72,1
OM-HIST-20281,Ministry of Transport,IT Services,420252,12,18.5,28.55,58.86,1
OM-HIST-20282,PDO,IT Services,20000,10,16.01,25.72,48.11,0
OM-HIST-20283,PDO,Oil & Gas Infrastructure,145560,13,10.58,35.89,89.38,1
OM-HIST-20284,PDO,Construction,803596,13,18.39,59.82,48.56,0
OM-HIST-20285,Ministry of Health,Electrical Substation,376881,5,8.68,52.64,59.38,1
OM-HIST-20286,Nama Group,Electrical Substation,82403,3,29.32,58.38,94.13,0
OM-HIST-20287,OQ,Oil & Gas Infrastructure,310030,10,21.27,54.57,85.34,0
OM-HIST-20288,PDO,IT Services,555557,14,15.84,21.21,94.03,0
OM-HIST-20289,PDO,IT Services,32157,14,19.82,28.04,67.2,0
OM-HIST-20290,Royal Oman Police,Medical Supplies,885231,4,23.36,14.31,50.1,0
OM-HIST-20291,Ministry of Transport,Electrical Substation,664922,10,17.32,30.47,67.37,1
OM-HIST-20292,PDO,Construction,20000,12,7.22,33.29,63.63,1
OM-HIST-20293,PDO,Medical Supplies,227112,12,22.63,48.39,38.39,0
OM-HIST-20294,OQ,Oil & Gas Infrastructure,110024,15,8.72,17.65,40.7,0
OM-HIST-20295,OQ,IT Services,1426118,7,33.42,35.94,48.46,1
OM-HIST-20296,OQ,IT Services,598180,12,33.69,23.72,70.63,0
OM-HIST-20297,Nama Group,Oil & Gas Infrastructure,184135,10,24.23,39.59,67.74,1
OM-HIST-20298,Royal Oman Police,Medical Supplies,1019432,13,32.06,26.88,90.06,0
OM-HIST-20299,OQ,Oil & Gas Infrastructure,5118373,3,6.36,42.07,67.49,1
OM-HIST-20300,Ministry of Transport,Medical Supplies,20000,8,23.54,11.51,87.78,0
OM-HIST-20301,Ministry of Health,Construction,86657,9,12.35,50.37,56.4,0
OM-HIST-20302,OQ,Oil & Gas Infrastructure,35983,4,18.19,34.21,43.26,0
OM-HIST-20303,PDO,Construction,154503,15,26.55,46.71,85.95,0
OM-HIST-20304,OQ,IT Services,32667,14,16.12,38.08,50.74,0
OM-HIST-20305,Royal Oman Police,Construction,712463,9,12.44,14.84,48.86,0
OM-HIST-20306,Royal Oman Police,Medical Supplies,5202158,8,12.45,53.27,40.38,1
OM-HIST-20307,PDO,Medical Supplies,208914,13,14.38,48.16,62.39,1
OM-HIST-20308,Nama Group,Electrical Substation,20000,6,19.92,14.5,55.56,1
OM-HIST-20309,PDO,IT Services,63913,5,22.5,12.43,48.29,0
OM-HIST-20310,Ministry of Health,Electrical Substation,77346,6,21.1,52.36,58.01,0
OM-HIST-20311,Royal Oman Police,Construction,1370596,14,17.1,12.26,33.33,0
OM-HIST-20312,Nama Group,Construction,272509,10,13.66,29.32,59.27,0
OM-HIST-20313,PDO,Medical Supplies,220661,12,23.33,16.43,36.28,0
OM-HIST-20314,Nama Group,Construction,46158,10,33.17,47.75,42.94,0
OM-HIST-20315,Ministry of Transport,Medical Supplies,64913,2,6.36,16.85,51.65,1
OM-HIST-20316,Ministry of Transport,Electrical Substation,367783,4,23.19,35.78,51.32,0
OM-HIST-20317,Nama Group,IT Services,124813,8,34.72,46.97,49.45,0
OM-HIST-20318,OQ,Medical Supplies,613019,10,19.7,38.15,60.87,1
OM-HIST-20319,OQ,Construction,74875,12,8.29,30.83,50.0,0
OM-HIST-20320,Ministry of Transport,Oil & Gas Infrastructure,20000,11,19.24,58.35,80.89,0
OM-HIST-20321,Nama Group,Medical Supplies,78107,5,26.64,39.18,41.08,0
OM-HIST-20322,Nama Group,Medical Supplies,20000,14,30.24,17.39,74.25,0
OM-HIST-20323,Ministry of Transport,Oil & Gas Infrastructure,394739,5,5.57,25.68,39.84,0
OM-HIST-20324,Ministry of Transport,Electrical Substation,299068,10,28.25,56.03,86.73,0
